Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,manufacture_year_copy,manufacture_date
BMW,Z4,2.2,Petrol,2004,126777,8373,2004,2004-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2010,51553,9813,2010,2010-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2010,75821,8851,2010,2010-01-01 00:00:00
VW,Polo,1.4,Diesel,2010,45193,11881,2010,2010-01-01 00:00:00
VW,Polo,1.6,Petrol,1997,87723,3840,1997,1997-01-01 00:00:00
Ford,Focus,1.8,Petrol,1993,279656,863,1993,1993-01-01 00:00:00
VW,Golf,2.0,Hybrid,2018,25017,36957,2018,2018-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1996,111771,2543,1996,1996-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2016,43893,29946,2016,2016-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2007,118788,5306,2007,2007-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2016,43130,30085,2016,2016-01-01 00:00:00
VW,Passat,1.6,Diesel,1991,247911,1052,1991,1991-01-01 00:00:00
Ford,Focus,2.0,Petrol,1991,272161,854,1991,1991-01-01 00:00:00
VW,Passat,1.6,Diesel,1994,179361,2371,1994,1994-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2009,66424,7616,2009,2009-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1999,104544,6058,1999,1999-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1999,80589,4937,1999,1999-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2000,128137,4771,2000,2000-01-01 00:00:00
Porsche,718 Cayman,2.0,Petrol,1992,169078,3074,1992,1992-01-01 00:00:00
VW,Passat,1.6,Petrol,2016,64344,23641,2016,2016-01-01 00:00:00
VW,Passat,1.6,Diesel,1993,176456,2274,1993,1993-01-01 00:00:00
Ford,Focus,1.4,Petrol,1985,179526,1105,1985,1985-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1999,162425,5396,1999,1999-01-01 00:00:00
Porsche,718 Cayman,2.4,Petrol,2021,14070,69526,2021,2021-01-01 00:00:00
BMW,Z4,2.4,Petrol,1993,226492,1799,1993,1993-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1995,183332,1330,1995,1995-01-01 00:00:00
VW,Golf,2.0,Petrol,1990,118673,2543,1990,1990-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1993,333629,478,1993,1993-01-01 00:00:00
VW,Passat,1.8,Diesel,1991,155034,2526,1991,1991-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,1990,200892,947,1990,1990-01-01 00:00:00
Ford,Focus,1.8,Petrol,2020,22371,40336,2020,2020-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2015,21834,28435,2015,2015-01-01 00:00:00
Ford,Focus,1.0,Petrol,1985,223615,633,1985,1985-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2007,100798,10008,2007,2007-01-01 00:00:00
BMW,Z4,2.4,Petrol,1997,103758,6532,1997,1997-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1997,156919,1901,1997,1997-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2008,42621,9591,2008,2008-01-01 00:00:00
VW,Passat,1.4,Diesel,2010,64359,15563,2010,2010-01-01 00:00:00
Ford,Focus,2.0,Petrol,2002,180048,4086,2002,2002-01-01 00:00:00
Ford,Mondeo,1.6,Hybrid,2005,142689,7247,2005,2005-01-01 00:00:00
VW,Passat,1.6,Diesel,2018,22122,36634,2018,2018-01-01 00:00:00
BMW,M5,4.4,Petrol,1987,226046,2956,1987,1987-01-01 00:00:00
Ford,Focus,1.4,Petrol,1987,236315,763,1987,1987-01-01 00:00:00
BMW,M5,4.4,Petrol,2008,109941,31711,2008,2008-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2009,61615,7859,2009,2009-01-01 00:00:00
Ford,Focus,1.8,Diesel,1989,297635,585,1989,1989-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1995,112413,5238,1995,1995-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2008,96911,6318,2008,2008-01-01 00:00:00
VW,Passat,1.6,Diesel,1990,223561,1229,1990,1990-01-01 00:00:00
VW,Passat,1.4,Diesel,2020,21413,39310,2020,2020-01-01 00:00:00
BMW,Z4,2.2,Petrol,2018,32319,40706,2018,2018-01-01 00:00:00
Toyota,RAV4,2.4,Petrol,2021,6829,66031,2021,2021-01-01 00:00:00
VW,Polo,1.6,Petrol,2010,108111,7878,2010,2010-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1998,137896,4132,1998,1998-01-01 00:00:00
Ford,Focus,1.6,Petrol,2013,66163,18269,2013,2013-01-01 00:00:00
VW,Passat,1.6,Diesel,2010,66410,16414,2010,2010-01-01 00:00:00
BMW,Z4,2.2,Petrol,2014,61332,26084,2014,2014-01-01 00:00:00
Toyota,RAV4,2.4,Petrol,2016,34379,40646,2016,2016-01-01 00:00:00
Porsche,911,3.5,Petrol,2003,107705,24378,2003,2003-01-01 00:00:00
VW,Golf,1.8,Diesel,2014,28530,23034,2014,2014-01-01 00:00:00
VW,Passat,1.6,Diesel,2015,57933,24207,2015,2015-01-01 00:00:00
BMW,Z4,2.4,Petrol,1997,146910,4671,1997,1997-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2001,152067,5040,2001,2001-01-01 00:00:00
BMW,M5,4.0,Petrol,2003,123913,19474,2003,2003-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2005,119097,11398,2005,2005-01-01 00:00:00
VW,Golf,1.2,Diesel,2008,97150,8066,2008,2008-01-01 00:00:00
Ford,Focus,2.0,Petrol,2010,86405,14567,2010,2010-01-01 00:00:00
Toyota,Yaris,1.2,Hybrid,2001,85798,5959,2001,2001-01-01 00:00:00
VW,Golf,2.0,Diesel,2015,50628,22743,2015,2015-01-01 00:00:00
BMW,Z4,3.0,Petrol,2014,80934,26708,2014,2014-01-01 00:00:00
VW,Polo,1.0,Petrol,1998,97043,3036,1998,1998-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2001,58770,5438,2001,2001-01-01 00:00:00
VW,Passat,1.8,Petrol,2008,84855,12800,2008,2008-01-01 00:00:00
VW,Passat,1.6,Diesel,2014,50898,23677,2014,2014-01-01 00:00:00
Ford,Focus,1.6,Diesel,1998,152532,3704,1998,1998-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2001,212899,3981,2001,2001-01-01 00:00:00
VW,Golf,1.6,Petrol,2001,140596,3988,2001,2001-01-01 00:00:00
Porsche,718 Cayman,2.4,Petrol,1988,256489,1183,1988,1988-01-01 00:00:00
BMW,X3,3.0,Petrol,2018,20441,53379,2018,2018-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,1986,147185,1145,1986,1986-01-01 00:00:00
BMW,M5,4.4,Petrol,1997,172030,9255,1997,1997-01-01 00:00:00
Ford,Focus,1.8,Petrol,2005,149956,6094,2005,2005-01-01 00:00:00
VW,Passat,1.6,Diesel,2009,134426,9345,2009,2009-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2010,91688,19491,2010,2010-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2005,41969,16500,2005,2005-01-01 00:00:00
VW,Passat,2.0,Petrol,2013,38210,25482,2013,2013-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2012,46972,19023,2012,2012-01-01 00:00:00
BMW,X3,2.0,Diesel,2018,27389,44018,2018,2018-01-01 00:00:00
VW,Polo,2.0,Petrol,1995,128234,2778,1995,1995-01-01 00:00:00
VW,Passat,1.4,Diesel,2008,112309,9705,2008,2008-01-01 00:00:00
VW,Polo,1.4,Petrol,1984,225099,489,1984,1984-01-01 00:00:00
Porsche,Cayenne,2.6,Diesel,2003,105361,15069,2003,2003-01-01 00:00:00
Ford,Focus,1.4,Petrol,2005,97979,8039,2005,2005-01-01 00:00:00
Ford,Mondeo,1.6,Petrol,2016,40104,26053,2016,2016-01-01 00:00:00
VW,Passat,2.0,Petrol,1993,158259,2822,1993,1993-01-01 00:00:00
Porsche,718 Cayman,4.0,Petrol,2018,20634,70913,2018,2018-01-01 00:00:00
BMW,Z4,2.0,Petrol,2010,98644,14728,2010,2010-01-01 00:00:00
Ford,Focus,2.0,Petrol,1991,176358,2025,1991,1991-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1998,69223,7267,1998,1998-01-01 00:00:00
BMW,X3,3.0,Petrol,2008,20860,27342,2008,2008-01-01 00:00:00
Toyota,RAV4,2.0,Petrol,2009,59936,19881,2009,2009-01-01 00:00:00
VW,Polo,1.4,Petrol,2012,58214,11916,2012,2012-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2020,33832,22982,2020,2020-01-01 00:00:00
VW,Golf,1.2,Diesel,2009,104436,8174,2009,2009-01-01 00:00:00
BMW,Z4,2.0,Petrol,1992,249377,1246,1992,1992-01-01 00:00:00
Porsche,Cayenne,2.6,Petrol,2003,143603,10667,2003,2003-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2007,115932,9481,2007,2007-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2016,61363,14854,2016,2016-01-01 00:00:00
VW,Polo,2.0,Petrol,2016,17810,23636,2016,2016-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2021,8120,68163,2021,2021-01-01 00:00:00
VW,Polo,2.0,Petrol,1990,142888,1771,1990,1990-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2009,68094,8721,2009,2009-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2016,51724,28482,2016,2016-01-01 00:00:00
VW,Polo,1.0,Petrol,1998,224106,1062,1998,1998-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2009,83796,6768,2009,2009-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2012,91325,24685,2012,2012-01-01 00:00:00
VW,Passat,2.0,Diesel,1997,173089,3416,1997,1997-01-01 00:00:00
Ford,Focus,2.0,Diesel,2013,75451,20153,2013,2013-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2006,103766,8671,2006,2006-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2014,82221,18224,2014,2014-01-01 00:00:00
VW,Passat,1.6,Diesel,1985,19000,4129,1985,1985-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2012,94338,25232,2012,2012-01-01 00:00:00
Porsche,Cayenne,2.6,Diesel,2019,20147,76182,2019,2019-01-01 00:00:00
VW,Polo,1.2,Diesel,2018,37411,19649,2018,2018-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2004,179016,2914,2004,2004-01-01 00:00:00
Porsche,718 Cayman,2.0,Petrol,1999,206584,3542,1999,1999-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1996,87664,5001,1996,1996-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2016,29439,30886,2016,2016-01-01 00:00:00
Ford,Focus,1.0,Diesel,2006,120770,6429,2006,2006-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1998,246137,1614,1998,1998-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2012,72136,19139,2012,2012-01-01 00:00:00
Ford,Focus,2.0,Diesel,2001,147478,5272,2001,2001-01-01 00:00:00
BMW,Z4,2.4,Petrol,1997,149908,4558,1997,1997-01-01 00:00:00
BMW,M5,4.4,Petrol,1997,66783,20664,1997,1997-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2020,18929,37720,2020,2020-01-01 00:00:00
VW,Golf,1.4,Diesel,2013,53405,16365,2013,2013-01-01 00:00:00
VW,Golf,1.4,Diesel,2001,136439,4049,2001,2001-01-01 00:00:00
VW,Polo,1.2,Petrol,2001,110779,3670,2001,2001-01-01 00:00:00
VW,Golf,2.0,Petrol,1991,188856,1528,1991,1991-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2013,12867,19025,2013,2013-01-01 00:00:00
Ford,Focus,2.0,Diesel,1994,162098,2930,1994,1994-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2013,79521,17370,2013,2013-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2011,97523,14195,2011,2011-01-01 00:00:00
VW,Golf,1.6,Petrol,1994,104541,3304,1994,1994-01-01 00:00:00
VW,Golf,1.6,Petrol,2016,57451,19835,2016,2016-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2003,104794,4947,2003,2003-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2002,227469,1517,2002,2002-01-01 00:00:00
VW,Passat,1.8,Diesel,2006,81107,12073,2006,2006-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2008,79566,7142,2008,2008-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,2007,85068,8043,2007,2007-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2000,123838,8299,2000,2000-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2014,66511,33453,2014,2014-01-01 00:00:00
VW,Passat,1.6,Diesel,1999,207639,2584,1999,1999-01-01 00:00:00
BMW,X3,3.0,Diesel,1990,150375,3510,1990,1990-01-01 00:00:00
VW,Passat,1.4,Diesel,2013,70458,18256,2013,2013-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2016,44550,33820,2016,2016-01-01 00:00:00
VW,Passat,1.6,Petrol,2012,53390,19428,2012,2012-01-01 00:00:00
Porsche,Cayenne,2.6,Diesel,2015,46563,50028,2015,2015-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2002,184586,1916,2002,2002-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2004,160915,2933,2004,2004-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2022,5179,36086,2022,2022-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,2003,181179,3468,2003,2003-01-01 00:00:00
VW,Polo,1.4,Petrol,2019,23181,23449,2019,2019-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,2016,66611,19942,2016,2016-01-01 00:00:00
VW,Golf,1.8,Hybrid,1999,105901,5810,1999,1999-01-01 00:00:00
Ford,Focus,1.4,Diesel,2014,24652,24721,2014,2014-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,1995,255196,737,1995,1995-01-01 00:00:00
VW,Polo,1.0,Petrol,2014,24579,14089,2014,2014-01-01 00:00:00
Toyota,RAV4,1.8,Petrol,2021,21354,52908,2021,2021-01-01 00:00:00
VW,Golf,2.0,Petrol,1991,117615,2741,1991,1991-01-01 00:00:00
Ford,Focus,2.0,Petrol,1999,135077,4855,1999,1999-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2006,94325,15441,2006,2006-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2010,96320,7831,2010,2010-01-01 00:00:00
VW,Golf,1.6,Petrol,1990,137231,1967,1990,1990-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2015,35448,43415,2015,2015-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,1995,142544,5129,1995,1995-01-01 00:00:00
BMW,M5,4.0,Petrol,2012,46755,60859,2012,2012-01-01 00:00:00
VW,Polo,1.6,Petrol,2001,97700,4668,2001,2001-01-01 00:00:00
BMW,M5,5.0,Petrol,2016,42059,91415,2016,2016-01-01 00:00:00
VW,Polo,1.6,Petrol,2012,48576,13537,2012,2012-01-01 00:00:00
VW,Polo,1.4,Petrol,2006,76691,7067,2006,2006-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2017,15473,50215,2017,2017-01-01 00:00:00
Ford,Focus,2.0,Petrol,2000,110549,6273,2000,2000-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1992,183342,994,1992,1992-01-01 00:00:00
Ford,Focus,1.4,Petrol,2012,94259,13169,2012,2012-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2018,42017,28904,2018,2018-01-01 00:00:00
VW,Golf,1.2,Petrol,1990,159547,1420,1990,1990-01-01 00:00:00
VW,Polo,1.4,Petrol,2000,73749,4833,2000,2000-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2009,63292,10802,2009,2009-01-01 00:00:00
VW,Passat,1.4,Diesel,2013,71904,18080,2013,2013-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2006,159969,5504,2006,2006-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2013,75588,11861,2013,2013-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2018,18334,33119,2018,2018-01-01 00:00:00
VW,Polo,1.2,Petrol,1995,175506,1460,1995,1995-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1985,235671,949,1985,1985-01-01 00:00:00
VW,Polo,1.0,Petrol,1996,144412,1846,1996,1996-01-01 00:00:00
BMW,M5,4.4,Petrol,2008,79613,39453,2008,2008-01-01 00:00:00
BMW,M5,4.4,Petrol,2004,108396,24571,2004,2004-01-01 00:00:00
Porsche,Cayenne,3.0,Petrol,2013,68093,39031,2013,2013-01-01 00:00:00
Ford,Mondeo,1.6,Hybrid,2019,30152,40482,2019,2019-01-01 00:00:00
Porsche,911,3.0,Petrol,2015,44761,77091,2015,2015-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2012,52525,11780,2012,2012-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2005,145747,3754,2005,2005-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2016,16626,33172,2016,2016-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,1998,155019,3364,1998,1998-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1996,188308,2658,1996,1996-01-01 00:00:00
Ford,Focus,2.0,Petrol,2001,72923,8773,2001,2001-01-01 00:00:00
VW,Golf,1.4,Diesel,2007,104718,7710,2007,2007-01-01 00:00:00
VW,Polo,2.0,Petrol,1992,258967,731,1992,1992-01-01 00:00:00
VW,Golf,1.2,Hybrid,2000,168963,3069,2000,2000-01-01 00:00:00
Ford,Focus,2.0,Diesel,1993,90439,4786,1993,1993-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1991,213652,1523,1991,1991-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2012,100268,23140,2012,2012-01-01 00:00:00
VW,Golf,2.0,Petrol,2019,26479,32650,2019,2019-01-01 00:00:00
VW,Passat,1.4,Diesel,2009,109384,10605,2009,2009-01-01 00:00:00
Ford,Focus,2.0,Petrol,2014,39083,25884,2014,2014-01-01 00:00:00
VW,Passat,2.0,Petrol,2002,73945,9749,2002,2002-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2008,114007,6011,2008,2008-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2003,125903,8052,2003,2003-01-01 00:00:00
VW,Polo,1.4,Petrol,1998,126188,2884,1998,1998-01-01 00:00:00
Porsche,911,3.0,Petrol,1990,178957,5344,1990,1990-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1996,118258,4217,1996,1996-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,2004,100476,7076,2004,2004-01-01 00:00:00
Ford,Focus,1.0,Petrol,1985,288486,347,1985,1985-01-01 00:00:00
VW,Passat,2.0,Diesel,1997,50121,8564,1997,1997-01-01 00:00:00
Porsche,911,2.6,Petrol,2003,130068,17702,2003,2003-01-01 00:00:00
VW,Golf,1.8,Petrol,1992,135772,2412,1992,1992-01-01 00:00:00
VW,Golf,1.8,Petrol,2010,70562,12942,2010,2010-01-01 00:00:00
Ford,Focus,2.0,Diesel,2003,139651,6417,2003,2003-01-01 00:00:00
Ford,Focus,1.6,Petrol,2004,106068,7575,2004,2004-01-01 00:00:00
Porsche,718 Cayman,2.0,Petrol,2019,18978,54090,2019,2019-01-01 00:00:00
VW,Polo,1.6,Diesel,2000,85142,5015,2000,2000-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2012,64490,17978,2012,2012-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,1993,121417,2045,1993,1993-01-01 00:00:00
Ford,Focus,1.0,Petrol,2018,19640,26712,2018,2018-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2009,99740,19019,2009,2009-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,2004,159279,3718,2004,2004-01-01 00:00:00
Ford,Focus,1.4,Petrol,1996,86718,4782,1996,1996-01-01 00:00:00
Porsche,718 Cayman,4.0,Petrol,1993,150186,5438,1993,1993-01-01 00:00:00
BMW,M5,4.4,Petrol,2019,20736,118474,2019,2019-01-01 00:00:00
VW,Polo,1.4,Petrol,1986,70039,1948,1986,1986-01-01 00:00:00
BMW,X3,3.0,Diesel,2017,30285,49606,2017,2017-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2016,38795,18326,2016,2016-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,1995,203197,3359,1995,1995-01-01 00:00:00
Toyota,RAV4,2.4,Petrol,2011,80839,21637,2011,2011-01-01 00:00:00
VW,Golf,1.4,Petrol,2002,174535,3010,2002,2002-01-01 00:00:00
VW,Passat,1.6,Petrol,1993,131899,3125,1993,1993-01-01 00:00:00
Ford,Focus,1.0,Petrol,2021,14063,33627,2021,2021-01-01 00:00:00
BMW,Z4,2.4,Petrol,1996,149048,4294,1996,1996-01-01 00:00:00
VW,Polo,1.0,Petrol,1990,145249,1229,1990,1990-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2007,61357,12446,2007,2007-01-01 00:00:00
Toyota,Yaris,1.2,Hybrid,1997,13000,7167,1997,1997-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,1986,263206,384,1986,1986-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,2010,52847,12174,2010,2010-01-01 00:00:00
VW,Passat,1.6,Diesel,2009,100782,12083,2009,2009-01-01 00:00:00
VW,Polo,1.0,Petrol,1999,193458,1491,1999,1999-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,1997,174912,1892,1997,1997-01-01 00:00:00
Ford,Mondeo,2.0,Hybrid,1998,169431,4074,1998,1998-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1993,269373,882,1993,1993-01-01 00:00:00
BMW,X3,2.0,Diesel,2009,129764,11999,2009,2009-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1998,104481,5060,1998,1998-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2008,105468,11556,2008,2008-01-01 00:00:00
BMW,M5,4.0,Petrol,2000,153596,12574,2000,2000-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,1993,84644,2739,1993,1993-01-01 00:00:00
VW,Golf,1.6,Petrol,2001,205054,2309,2001,2001-01-01 00:00:00
VW,Polo,1.0,Petrol,1993,159497,1335,1993,1993-01-01 00:00:00
Ford,Focus,1.8,Petrol,2002,166994,4332,2002,2002-01-01 00:00:00
